"Beta","Delta","N","C_BS","E_theory","FinalZip","SHA256"
"0.1","1100","1100","0.37638838870560665","0.00090826521344232502",".\out\HR_Final_pkg_FINAL_D1100_beta0.1.zip","C80FDEDCEB58A6CC5FF52069CEA8C8685878082672DADD43D54D034BD5A8EB04"
"0.1","1050","1050","0.39387869598181918","0.00095147478591817299",".\out\HR_Final_pkg_FINAL_D1050_beta0.1.zip","1B08A541275ADC382F3579F51C3ED168741BACFB4A152CF9F394D1CADAD6700C"
"0.1","1000","1000","0.41297720650860537","0.000999000999000999",".\out\HR_Final_pkg_FINAL_D1000_beta0.1.zip","A390E388E67D3885C120D4344DD53FD297893E463D25D62C9AA9EF1BC17DAA10"
"0.1","950","950","0.43422295712923653","0.0010515247108306999",".\out\HR_Final_pkg_FINAL_D950_beta0.1.zip","5F41CB29253CC8A3DDA6ED88EF53E0465442C41F13F602F9218DA2F7EEDC31BF"
"0.1","900","900","0.4578294532540001","0.00110987791342952",".\out\HR_Final_pkg_FINAL_D900_beta0.1.zip","EDEB0751A83A2097E5AEFFDBAA80F5439A2BCDE4C3585D6031FA1C410789AD1C"
"0.1","850","850","0.48413523068213948","0.0011750881316098701",".\out\HR_Final_pkg_FINAL_D850_beta0.1.zip","4135C1F1A120D5772A1B941E8980433AF94925444584FC87C0BBAD3714C2A629"
"0.1","800","800","0.51374862760887285","0.00124843945068664",".\out\HR_Final_pkg_FINAL_D800_beta0.1.zip","C26DF67344FB422CBF2E0CFC04C74B3E1CE8A7CCC549FEA8431A6CD3172370C0"
"0.1","750","750","0.54736347835738441","0.0013315579227696399",".\out\HR_Final_pkg_FINAL_D750_beta0.1.zip","E4D915AEDDD3098EC283C107CE7100DF3B5D6284115635D5304E5042A89774E4"
"0.1","700","700","0.58570530766112505","0.0014265335235377999",".\out\HR_Final_pkg_FINAL_D700_beta0.1.zip","541E9F47293F5A817628475B765ED0C9C97951127EE559FE03C6B170C31E1556"
"0.1","650","650","0.62998903652793981","0.00153609831029186",".\out\HR_Final_pkg_FINAL_D650_beta0.1.zip","15523FDD261F68F94CE26FAEBEAF9F19D9B0AF70B42C8FF02BA62E5D6E79978A"
"0.1","600","600","0.68161673719114146","0.00166389351081531",".\out\HR_Final_pkg_FINAL_D600_beta0.1.zip","7BD549ED6C635D40EC2201D6794BD0892D829E2A70B59DAABF13B41CE4000745"
